American League
W	L	PCT	GB	HOME	ROAD	RS	RA	DIFF	STRK	L10
Kansas City Royals	95	67	.586	-	51-30	44-37	724	641	+83	W5	6-4
Toronto Blue Jays	93	69	.574	2	53-28	40-41	891	670	+221	L2	6-4
Texas Rangers	88	74	.543	7	43-38	45-36	751	733	+18	W1	5-5
New York Yankees	87	75	.537	8	45-36	42-39	764	698	+66	L3	3-7
Houston Astros	86	76	.531	9	53-28	33-48	729	618	+111	L1	6-4
Los Angeles Angels	85	77	.525	10	49-32	36-45	661	675	-14	L1	7-3
Minnesota Twins	83	79	.512	12	46-35	37-44	696	700	-4	L3	5-5
Cleveland Indians	81	80	.503	13.5	39-41	42-39	669	640	+29	W3	6-4
Baltimore Orioles	81	81	.500	14	47-31	34-50	713	693	+20	W5	5-5
Tampa Bay Rays	80	82	.494	15	42-42	38-40	644	642	+2	W2	6-4
Boston Red Sox	78	84	.481	17	43-38	35-46	748	753	-5	L4	6-4
Chicago White Sox	76	86	.469	19	40-41	36-45	622	701	-79	L1	4-6
Seattle Mariners	76	86	.469	19	36-45	40-41	656	726	-70	W1	2-8
Detroit Tigers	74	87	.460	20.5	38-43	36-44	689	803	-114	W1	4-6
Oakland Athletics	68	94	.420	27	34-47	34-47	694	729	-35	L1	4-6
National League
W	L	PCT	GB	HOME	ROAD	RS	RA	DIFF	STRK	L10
St. Louis Cardinals	100	62	.617	-	55-26	45-36	647	525	+122	L3	4-6
Pittsburgh Pirates	98	64	.605	2	53-28	45-36	697	596	+101	W1	6-4
Chicago Cubs	97	65	.599	3	49-32	48-33	689	608	+81	W8	8-2
Los Angeles Dodgers	92	70	.568	8	55-26	37-44	667	595	+72	W4	5-5
New York Mets	90	72	.556	10	49-32	41-40	683	613	+70	W1	5-5
San Francisco Giants	84	78	.519	16	47-34	37-44	696	627	+69	L1	5-5
Washington Nationals	83	79	.512	17	46-35	37-44	703	635	+68	L1	5-5
Arizona Diamondbacks	79	83	.488	21	39-42	40-41	720	713	+7	W1	6-4
San Diego Padres	74	88	.457	26	39-42	35-46	650	731	-81	L3	3-7
Miami Marlins	71	91	.438	29	41-40	30-51	613	678	-65	L1	6-4
Colorado Rockies	68	94	.420	32	36-45	32-49	737	844	-107	W1	5-5
Milwaukee Brewers	68	94	.420	32	34-47	34-47	655	737	-82	L4	4-6
Atlanta Braves	67	95	.414	33	42-39	25-56	573	760	-187	W3	6-4
Cincinnati Reds	64	98	.395	36	34-47	30-51	640	754	-114	L1	1-9
Philadelphia Phillies	63	99	.389	37	37-44	26-55	626	809	-183	W1	6-4
